"","X_WGS84","Y_WGS84","ConnochaetesGnou","GuloGulo","PantheraOnca","PteropusGiganteus","TenrecEcaudatus","VulpesVulpes","bio3","bio4","bio7","bio11","bio12"
"1",-86.25,82.750007823,0,0,0,0,0,0,11.6666576442691,16213.3330562186,491.666676497441,-389.666669587025,75.0000424258629
"2",-84.75,82.750007823,0,1,0,0,0,0,11.3333349500866,16199.9995561268,489.33334332059,-399.999881665132,101.999688777942
"3",-83.25,82.750007823,0,1,0,0,0,0,11.3333248585001,15981.3346409607,483.333364416347,-396.000096717475,108.000108452011
"4",-81.75,82.750007823,0,1,0,0,0,0,11.5000000000124,15726.5010081522,478.666682416797,-388.666672233879,103.666614813459
"5",-80.25,82.750007823,0,1,0,0,0,0,11.0000128035066,15559.5003010644,472.000021565157,-396.833277451514,138.49979513044
"6",-78.75,82.750007823,0,1,0,0,0,0,11.1666678270782,15305.0002960054,464.50003893203,-395.166595621381,151.166427167624
"7",-77.25,82.750007823,0,1,0,0,0,0,11.1666715951118,15025.1678024891,457.166707358853,-391.500020039657,164.16665566239
"8",-75.75,82.750007823,0,1,0,0,0,0,12.4999956191633,14629.1261481621,449.500033530994,-369.000061283027,121.750122321587
"9",-74.25,82.750007823,0,1,0,0,0,0,12.5555634306123,14376.7782999414,441.777805062362,-367.555500638806,139.333107346819
"10",-72.75,82.750007823,0,1,0,0,0,0,12.6666602866728,14103.4455000931,434.000022860322,-363.444464740242,154.666642849167
"11",-71.25,82.750007823,0,1,0,0,0,0,11.6666685833016,13933.3341294827,425.833346619314,-378.166627825587,217.83315117574
"12",-69.75,82.750007823,0,1,0,0,0,0,12.000002777138,13697.0005333512,421.166685480769,-369.999988486877,214.166572425234
"13",-68.25,82.750007823,0,1,0,0,0,0,13.333327127162,13416.3342562436,418.666664776156,-347.000054225987,165.833449608053
"14",-66.75,82.750007823,0,1,0,0,0,0,13.4999924508964,13306.8346307653,419.166658869895,-340.166818326922,162.000322929951
"15",-65.25,82.750007823,0,1,0,0,0,0,14.3333324988665,13262.8339158298,421.66667012177,-336.000015150689,157.166696146751
"16",-63.75,82.750007823,0,1,0,0,0,0,14.400000485026,13269.4000637874,425.799979691724,-335.200012156524,165.999980300874
"17",-62.25,82.750007823,0,1,0,0,0,0,14.0000024251003,13244.6670739274,427.000016376044,-337.666681999289,187.333361390437
"18",-60.75,82.750007823,0,1,0,0,0,0,14.9999628412379,13043.0017019532,424.000037158942,-324.000208401973,156.000474145561
"19",-57.75,82.750007823,0,0,0,0,0,0,15,12363.0011523156,405.000038410519,-305.999923178962,135.999884768444
"20",-56.25,82.750007823,0,0,0,0,0,0,14.6666666666667,12303.3338087841,403.000038723435,-309.666653550244,152.999921979449
"21",-54.75,82.750007823,0,0,0,0,0,0,14.3333219379692,12168.3346034877,399.66669198683,-307.000084800268,151.333525594301
"22",-53.25,82.750007823,0,0,0,0,0,0,14.3333333854861,12067.9993632146,396.666679887395,-309.666560483617,166.332988603491
"23",-51.75,82.750007823,0,0,0,0,0,0,15,11935.0012392282,395,-299.000159900408,142.000559651428
"24",-50.25,82.750007823,0,0,0,0,0,0,15.7499892826228,11816.7504456921,393.000012536225,-292.750013142532,129.249986857468
"25",-48.75,82.750007823,0,0,0,0,0,0,15.7499993937175,11765.4998944908,391.499992118486,-294.749935206824,139.249767581425
"26",-47.25,82.750007823,0,0,0,0,0,0,15.6666732118359,11767.9996024005,391.166654762782,-295.499943414281,138.666519491704
"27",-45.75,82.750007823,0,0,0,0,0,0,15.6666736420845,11759.3318007383,390.499974823324,-299.833184385471,152.832964248981
"28",-44.25,82.750007823,0,0,0,0,0,0,16.0000045025088,11723.1114343463,390.333326501347,-295.555585691186,138.000023503451
"29",-42.75,82.750007823,0,0,0,0,0,0,16.2222225264383,11695.8894721581,388.888915860565,-296.77782840079,144.222313037636
"30",-41.25,82.750007823,0,0,0,0,0,0,16.4444487470214,11682.221932098,388.222240310527,-298.888855128837,150.222171173653
"31",-39.75,82.750007823,0,0,0,0,0,0,16.3333336028025,11716.5555260631,388.222228593582,-305.777761436538,169.777718514606
"32",-38.25,82.750007823,0,0,0,0,0,0,16.6666669361136,11694.5555430224,387.444436569396,-304.777763192368,169.111066276874
"33",-36.75,82.750007823,0,0,0,0,0,0,16.6666661625178,11710.000583754,387.222240154094,-307.777776378291,177.777763304966
"34",-35.25,82.750007823,0,0,0,0,0,0,16.5555550861748,11739.9999186347,387.222235799354,-309.222236034147,179.555602571409
"35",-33.75,82.750007823,0,0,0,0,0,0,16.1111217502602,11842.9991487203,388.444421271286,-319.222130720256,205.110855562549
"36",-32.25,82.750007823,0,0,0,0,0,0,16.5555560770772,11834.8890004968,388.666674611266,-312.555592114575,179.000158796001
"37",-30.75,82.750007823,0,0,0,0,0,0,16.777772805869,11953.443348368,390.777765269824,-317.666618399264,186.999935790896
"38",-29.25,82.750007823,0,0,0,0,0,0,16.9999945413633,12104.5553783411,397.666648161128,-322.555570054021,181.666780663707
"39",-27.75,82.750007823,0,0,0,0,0,0,17,12213.4438277391,401.222195207149,-320.44442440913,168.999965022819
"40",-26.25,82.750007823,0,0,0,0,0,0,17,12267.3332174764,401.555564334617,-309.333439046872,140.222424096628
"41",-24.75,82.750007823,0,0,0,0,0,0,17,12293.4991472521,401.666662833503,-303.333306318462,130.666693603771
"42",-23.25,82.750007823,0,0,0,0,0,0,16.9999999999815,12406.332998995,405.166651072995,-300.000026415361,121.833355759004
"43",-21.75,82.750007823,0,0,0,0,0,0,17,12520.6657441884,407.666650160313,-300.333333333333,120.333333333333
"44",-95.25,81.250007823,0,0,0,0,0,0,12.9999990351891,14958.6679446692,469.333426504163,-379.999883151892,94.9997868258911
"45",-93.75,81.250007823,0,0,0,0,0,0,12.6666621945785,15150.6663762039,472.666664698002,-382.666666549271,92.3333507390678
"46",-92.25,81.250007823,0,0,0,0,0,0,12.1428618701304,15324.713330295,474.714268638133,-386.857129267528,93.7143098643897
"47",-90.75,81.250007823,0,1,0,0,0,0,12.3333291350409,15647.499592674,483.166649730101,-383.500031969574,80.3333603744269
"48",-89.25,81.250007823,0,1,0,0,0,0,11.99999929593,15873.3740948607,485.874987434478,-387.499921917507,89.4998235344399
"49",-87.75,81.250007823,0,1,0,0,0,0,11.3333362365012,16089.4436483856,488.555547150279,-394.77776001108,101.111077472489
"50",-86.25,81.250007823,0,1,0,0,0,0,11.2222222395972,16224.8888898185,490.88888245673,-396.000024198832,100.3333811833
"51",-84.75,81.250007823,0,1,0,0,0,0,11.1111104157257,16134.2229543783,487.55558260544,-398.444450807167,117.333253626672
"52",-83.25,81.250007823,0,1,0,0,0,0,10.7777770650253,15928.8893090854,481.333357401845,-403.444385398985,148.110901578836
"53",-81.75,81.250007823,0,1,0,0,0,0,11.1111126669822,15623.7785136571,475.000020478683,-393.77778123764,141.777725000106
